"","date","tests","id","hosp","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","weekend","cs","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","error...30","error...31","error","p2.5_signal_deaths","p97.5_signal_deaths","mean_signal_deaths","p2.5_position_deaths","p97.5_position_deaths","mean_position_deaths","p2.5_growth_rate_deaths","p97.5_growth_rate_deaths","p25_growth_rate_deaths","p75_growth_rate_deaths","growth_rate_deaths","percentile_0_growth_rate_deaths","dispersion_deaths","z_score_growth_rate_deaths","country","state","county","deaths_pc"
"1",2020-02-05,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"2",2020-02-06,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"3",2020-02-07,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"4",2020-02-08,NA,"SWE",NA,0,NA,1,NA,10175214,1,"Sweden",NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"5",2020-02-09,NA,"SWE",NA,0,NA,1,NA,10175214,1,"Sweden",NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"6",2020-02-10,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"7",2020-02-11,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"8",2020-02-12,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"9",2020-02-13,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"10",2020-02-14,NA,"SWE",NA,0,0,1,0,10175214,1,"Sweden",NA,NA,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
"11",2020-02-15,NA,"SWE",NA,0,NA,1,NA,10175214,1,"Sweden",NA,NA,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden",NA,NA,0
